ID,Subject,GitHub Sync ID,Project,Is Group,Is Template,Parent Task,Duration (Days),Is Milestone,Task Description,Depends on Tasks,Actual Start Date (via Time Sheet),Actual Time (in hours),Actual End Date (via Time Sheet),Hito de Lanzamiento,Fin Manual,Inicio Manual,Módulo NPDI,Requiere Evidencia Adjunta,Rol Responsable,Etapa NPDI,ID (Dependent Tasks),Task (Dependent Tasks),Subject (Dependent Tasks),Project (Dependent Tasks)
,Generar pedidos iniciales,,PROJ-0043,0,0,TASK-2026-02556,3,0,,"TASK-2026-02555,",,0,,0,,,Core,0,Ventas,4 – LANZAMIENTO,,TASK-2026-02555,STAGE-GATE DESARROLLO,
,Lanzamiento del Producto,,PROJ-0043,1,0,,0,0,,"TASK-2026-02555,TASK-2026-02556,TASK-2026-02559,TASK-2026-02560,TASK-2026-02561,",,0,,0,,,Core,0,Fábrica,4 – LANZAMIENTO,,TASK-2026-02555,STAGE-GATE DESARROLLO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02556,Comercialización,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02559,Preparar el inventario inicial,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02560,Ejecutar el plan de marketing,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02561,Monitorear las primeras ventas y feedback de los consumidores,
,Preparar el inventario inicial,,PROJ-0043,0,0,TASK-2026-02558,30,0,,"TASK-2026-02556,",,0,,0,,,Core,0,Fábrica,4 – LANZAMIENTO,,TASK-2026-02556,Comercialización,
,Ejecutar el plan de marketing,,PROJ-0043,0,0,TASK-2026-02558,30,0,,"TASK-2026-02556,",,0,,0,,,Core,0,Fábrica,4 – LANZAMIENTO,,TASK-2026-02556,Comercialización,
,Monitorear las primeras ventas y feedback de los consumidores,,PROJ-0043,0,0,TASK-2026-02558,30,0,,"TASK-2026-02556,",,0,,0,,,Core,0,Fábrica,4 – LANZAMIENTO,,TASK-2026-02556,Comercialización,
,STAGE-GATE LANZAMIENTO,,PROJ-0043,0,0,,0,0,,"TASK-2026-02555,TASK-2026-02558,",,0,,1,,,Core,1,CEO,4 – LANZAMIENTO,,TASK-2026-02555,STAGE-GATE DESARROLLO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02558,Lanzamiento del Producto,
,Monitoreo de Desempeño,,PROJ-0043,1,0,,0,0,,"TASK-2026-02562,TASK-2026-02564,TASK-2026-02565,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02564,Evaluar el desempeño del producto en el mercado,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02565,Recopilar y analizar feedback de los consumidores,
,Evaluar el desempeño del producto en el mercado,,PROJ-0043,0,0,TASK-2026-02563,30,0,,"TASK-2026-02562,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,Recopilar y analizar feedback de los consumidores,,PROJ-0043,0,0,TASK-2026-02563,30,0,,"TASK-2026-02562,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,Mejora Continua,,PROJ-0043,1,0,,0,0,,"TASK-2026-02562,TASK-2026-02567,TASK-2026-02568,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02567,Identificar áreas de mejora en el producto,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02568,Implementar mejoras basadas en el feedback recibido,
,Identificar áreas de mejora en el producto,,PROJ-0043,0,0,TASK-2026-02566,3,0,,"TASK-2026-02562,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,Implementar mejoras basadas en el feedback recibido,,PROJ-0043,0,0,TASK-2026-02566,3,0,,"TASK-2026-02562,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,Revisión y Reporte Final,,PROJ-0043,1,0,,0,0,,"TASK-2026-02562,TASK-2026-02570,TASK-2026-02571,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02570,Realizar una revisión final del proyecto,
,,,,,,,,,,,,,,,,,,,,,,TASK-2026-02571,Documentar las lecciones aprendidas y las mejores prácticas,
,Realizar una revisión final del proyecto,,PROJ-0043,0,0,TASK-2026-02569,3,0,,"TASK-2026-02562,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,Documentar las lecciones aprendidas y las mejores prácticas,,PROJ-0043,0,0,TASK-2026-02569,3,0,,"TASK-2026-02562,",,0,,0,,,Core,0,MKT,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
,STAGE-GATE CIERRE DE PROYECTO,,PROJ-0043,0,0,,0,0,,"TASK-2026-02562,",,0,,0,,,Core,1,CEO,5 – POST LANZAMIENTO,,TASK-2026-02562,STAGE-GATE LANZAMIENTO,
